Date,Open,High,Low,Close,Adj Close,Volume
2006-04-06,131.059998,131.389999,130.399994,131.009995,93.964691,1010400
2006-04-07,131.300003,131.589996,129.559998,129.789993,93.089691,1514900
2006-04-10,129.880005,130.270004,129.490005,130.000000,93.240303,3556600
2006-04-11,130.039993,130.259995,128.529999,128.899994,92.451317,1054400
2006-04-12,128.940002,129.300003,128.839996,129.070007,92.573242,1337400
2006-04-13,128.830002,129.410004,128.500000,129.009995,92.530235,969200
2006-04-17,128.960007,129.410004,128.210007,128.800003,92.379608,1253900
2006-04-18,129.089996,131.100006,129.089996,130.899994,93.885803,984400
2006-04-19,130.940002,131.250000,130.429993,131.149994,94.065140,1000500
2006-04-20,131.169998,132.059998,130.830002,131.300003,94.172729,976700
2006-04-21,131.929993,131.990005,130.820007,131.279999,94.158356,1428000
2006-04-24,131.100006,131.240005,130.580002,131.160004,94.072311,419300
2006-04-25,131.190002,131.279999,130.119995,130.600006,93.670639,1417500
2006-04-26,130.690002,131.339996,130.520004,130.600006,93.670639,1244300
2006-04-27,130.080002,131.809998,129.779999,131.130005,94.050766,1684200
2006-04-28,131.050003,131.929993,130.919998,131.600006,94.387878,666200
2006-05-01,131.750000,131.979996,130.619995,130.630005,93.692154,457100
2006-05-02,131.240005,131.630005,130.970001,131.600006,94.387878,480300
2006-05-03,131.440002,131.509995,130.669998,131.009995,93.964691,523300
2006-05-04,131.289993,131.839996,131.229996,131.570007,94.366341,712800
2006-05-05,132.240005,133.000000,132.089996,132.699997,95.176804,1625800
2006-05-08,132.720001,132.979996,132.600006,132.660004,95.148170,588400
2006-05-09,132.679993,132.990005,132.570007,132.889999,95.313110,2438100
2006-05-10,132.660004,132.949997,132.119995,132.759995,95.219872,912200
2006-05-11,132.779999,132.779999,130.729996,131.130005,94.050766,1004600
2006-05-12,130.690002,130.899994,129.419998,129.509995,92.888855,853100
2006-05-15,128.940002,129.880005,128.830002,129.759995,93.068153,2279400
2006-05-16,129.929993,130.190002,129.240005,129.500000,92.881706,2412400
2006-05-17,128.880005,129.220001,126.949997,127.050003,91.124466,1472400
2006-05-18,127.589996,127.900002,126.309998,126.400002,90.658257,1833600
2006-05-19,127.029999,127.680000,126.000000,127.290001,91.296616,1700300
2006-05-22,126.480003,127.330002,125.720001,126.349998,90.622398,1934600
2006-05-23,127.330002,127.800003,125.449997,125.449997,89.976891,2092700
2006-05-24,125.919998,126.919998,124.989998,126.349998,90.622398,1291200
2006-05-25,127.059998,127.870003,126.629997,127.870003,91.712601,1039100
2006-05-26,128.229996,128.570007,127.750000,128.550003,92.200333,880200
2006-05-30,128.199997,128.199997,126.260002,126.300003,90.586571,2368900
2006-05-31,126.800003,127.750000,126.629997,127.750000,91.626518,551600
2006-06-01,127.519997,129.130005,127.480003,129.020004,92.537415,797900
2006-06-02,129.449997,129.559998,128.529999,129.220001,92.680878,1457000
2006-06-05,129.100006,129.100006,127.000000,127.339996,91.332474,1008900
2006-06-06,127.430000,127.580002,125.980003,126.919998,91.031250,1389100
2006-06-07,127.129997,127.820000,125.989998,126.050003,90.407227,916000
2006-06-08,125.720001,126.580002,124.050003,126.000000,90.371384,2686700
2006-06-09,126.489998,126.860001,125.550003,125.599998,90.084473,1076800
2006-06-12,126.000000,126.099998,124.050003,124.050003,88.972778,980900
2006-06-13,123.889999,124.970001,122.750000,122.750000,88.040382,1101100
2006-06-14,122.949997,123.800003,122.550003,123.699997,88.721725,1254100
2006-06-15,124.099998,126.570000,124.070000,126.269997,90.565033,2702200
2006-06-16,126.000000,126.290001,125.260002,125.519997,90.027092,1085500
